Card	Time1	Time2	Time3
1215000	2.9771e+006	2.9513e+006	2.9899e+006
1217500	2.9453e+006	2.9485e+006	2.9984e+006
1220000	3.5052e+006	2.9605e+006	2.9538e+006
1222500	3.2692e+006	2.9924e+006	2.9841e+006
1225000	3.023e+006	2.9884e+006	3.8127e+006
1227500	3.5948e+006	3.0501e+006	3.0265e+006
1230000	3.9341e+006	3.0006e+006	2.9945e+006
1232500	2.9895e+006	3.0199e+006	3.0075e+006
1235000	3.037e+006	3.1248e+006	3.0035e+006
1237500	2.9949e+006	3.0529e+006	3.0253e+006
1240000	3.049e+006	3.04e+006	3.0203e+006
1242500	3.0222e+006	3.0742e+006	3.0519e+006
1245000	3.0382e+006	3.021e+006	3.0632e+006
1247500	3.0423e+006	3.0489e+006	3.0615e+006
1250000	3.086e+006	3.0404e+006	3.0544e+006
1252500	3.0309e+006	3.0872e+006	3.0291e+006
1255000	3.058e+006	3.0701e+006	3.0565e+006
1257500	3.0524e+006	3.0575e+006	3.1157e+006
1260000	3.0734e+006	3.0789e+006	3.0731e+006
1262500	3.0604e+006	3.0887e+006	3.0959e+006
1265000	3.2257e+006	3.0967e+006	3.1009e+006
1267500	3.1214e+006	3.0896e+006	3.1298e+006
1270000	3.1457e+006	3.0789e+006	3.1248e+006
1272500	3.0879e+006	3.1994e+006	3.136e+006
1275000	3.1513e+006	3.1048e+006	3.2329e+006
1277500	3.6283e+006	3.7662e+006	3.1155e+006
1280000	3.7626e+006	3.5851e+006	3.1517e+006
1282500	3.1721e+006	3.4549e+006	3.1463e+006
1285000	3.1651e+006	3.1463e+006	3.1736e+006
1287500	3.1747e+006	3.4941e+006	3.1755e+006
1290000	3.2154e+006	3.1335e+006	3.1333e+006
1292500	3.1435e+006	3.1747e+006	3.1437e+006
1295000	3.1729e+006	3.1316e+006	3.1594e+006
1297500	3.1727e+006	3.194e+006	3.1955e+006
1300000	3.167e+006	3.197e+006	3.6609e+006
1302500	3.2119e+006	3.171e+006	3.1828e+006
1305000	3.199e+006	3.1655e+006	3.3567e+006
1307500	3.2026e+006	3.2032e+006	3.1658e+006
1310000	3.2068e+006	3.1749e+006	3.1838e+006
1312500	3.1922e+006	3.2555e+006	3.2163e+006
1315000	3.2148e+006	3.2174e+006	3.23e+006
1317500	3.2546e+006	3.2247e+006	3.2025e+006
1320000	3.1937e+006	3.4035e+006	3.2019e+006
1322500	3.2501e+006	3.2716e+006	3.2284e+006
1325000	3.222e+006	3.2542e+006	3.2477e+006
1327500	3.2147e+006	4.3959e+006	3.248e+006
1330000	3.3522e+006	3.2657e+006	3.2366e+006
1332500	3.2723e+006	3.2691e+006	3.2688e+006
1335000	3.6418e+006	3.2862e+006	3.3042e+006
1337500	3.2504e+006	3.239e+006	3.2592e+006
1340000	3.5467e+006	3.2709e+006	3.2512e+006
1342500	3.2839e+006	3.2963e+006	3.3006e+006
1345000	3.3113e+006	3.2496e+006	3.285e+006
1347500	3.297e+006	3.2862e+006	3.294e+006
1350000	3.3076e+006	3.2718e+006	3.2836e+006
1352500	3.2983e+006	3.2996e+006	3.32e+006
1355000	3.3193e+006	3.2902e+006	3.3409e+006
1357500	3.3064e+006	3.2865e+006	3.3338e+006
1360000	3.3553e+006	3.3041e+006	3.3153e+006
1362500	3.3281e+006	3.368e+006	3.3045e+006
1365000	3.3114e+006	3.3318e+006	3.4052e+006
1367500	3.5029e+006	3.3431e+006	3.3668e+006
1370000	3.3868e+006	3.3195e+006	3.3672e+006
1372500	3.3448e+006	3.4259e+006	3.3537e+006
1375000	3.3879e+006	3.4229e+006	3.3449e+006
1377500	3.3561e+006	3.3867e+006	3.3627e+006
1380000	3.4108e+006	3.3548e+006	3.349e+006
1382500	3.3768e+006	3.358e+006	3.3952e+006
1385000	3.3757e+006	3.3776e+006	3.3667e+006
1387500	3.3994e+006	3.3667e+006	3.4161e+006
1390000	3.7261e+006	3.9996e+006	3.6502e+006
1392500	3.37e+006	3.3917e+006	3.3886e+006
1395000	3.3933e+006	4.5069e+006	3.3968e+006
1397500	3.3928e+006	4.1316e+006	3.4414e+006
1400000	3.4181e+006	3.4012e+006	3.4298e+006
1402500	3.4623e+006	3.4404e+006	3.4496e+006
1405000	3.4926e+006	3.4414e+006	3.732e+006
1407500	3.4517e+006	3.4089e+006	3.9663e+006
1410000	3.4661e+006	3.4233e+006	3.5793e+006
1412500	3.4386e+006	3.4257e+006	3.595e+006
1415000	3.4457e+006	3.4323e+006	3.8687e+006
1417500	3.5087e+006	3.495e+006	3.4832e+006
1420000	3.4573e+006	4.2238e+006	3.4821e+006
1422500	3.4815e+006	3.4838e+006	3.4374e+006
1425000	3.5704e+006	3.4645e+006	3.5472e+006
1427500	3.4762e+006	3.4933e+006	3.5585e+006
1430000	3.5109e+006	3.5184e+006	4.3229e+006
1432500	3.5185e+006	3.523e+006	4.1667e+006
1435000	3.5134e+006	3.4716e+006	3.9613e+006
1437500	3.5195e+006	3.5038e+006	6.305e+006
1440000	4.012e+006	3.5224e+006	3.5388e+006
1442500	3.7277e+006	3.5415e+006	3.595e+006
1445000	3.5961e+006	3.5436e+006	3.7522e+006
1447500	3.5433e+006	3.5831e+006	3.966e+006
1450000	3.5604e+006	3.5096e+006	3.5558e+006
1452500	3.536e+006	3.5593e+006	3.5784e+006
1455000	3.5624e+006	3.5806e+006	3.9695e+006
1457500	3.5547e+006	3.61e+006	4.6037e+006
1460000	3.5868e+006	3.567e+006	3.9196e+006
1462500	3.5474e+006	3.6054e+006	3.5377e+006
1465000	3.5721e+006	3.5916e+006	5.4592e+006
1467500	3.6028e+006	3.5598e+006	4.0026e+006
1470000	3.585e+006	3.6165e+006	3.5736e+006
1472500	3.6072e+006	3.5751e+006	3.8958e+006
1475000	3.5815e+006	3.5777e+006	3.9211e+006
1477500	3.5926e+006	3.5879e+006	4.5375e+006
1480000	3.634e+006	3.5937e+006	3.5946e+006
1482500	3.5847e+006	3.6052e+006	3.9267e+006
1485000	3.6248e+006	4.0245e+006	4.0555e+006
1487500	3.6164e+006	3.6193e+006	4.0944e+006
1490000	3.6444e+006	4.7317e+006	3.8906e+006
1492500	3.6288e+006	4.1331e+006	3.6435e+006
